Circuit: * \\psf\Home\Documents\Lettuce Buddy HW\HealthyEC\LTSpice\miniEC_WienBridge_Series.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.12915e-006 to 3.12915e-006
Heightened Def Con from 3.12915e-006 to 3.12916e-006
Heightened Def Con from 3.12916e-006 +to 3.12928e-006
Heightened Def Con from 3.12928e-006 to 3.1293e-006
Heightened Def Con from 3.1293e-006 to 3.1293e-006
Heightened Def Con from 3.1293e-006 to 3.1293e-006
Heightened Def Con from 3.1293e-006 to 3.12944e-006
Heightened Def Con from 3.12944e-006 to 3.12944e-006
Heightened Def Con from 3.12944e-006 +++++to 3.13056e-006
Heightened Def Con from 3.13056e-006 ++to 3.13056e-006
Heightened Def Con from 3.13056e-006 to 3.13056e-006
Heightened Def Con from 3.13056e-006 ++to 3.13158e-006
Heightened Def Con from 3.13158e-006 to 3.13158e-006
Heightened Def Con from 3.13158e-006 to 3.13158e-006
Heightened Def Con from 3.13158e-006 +++to 3.13158e-006
Heightened Def Con from 3.13158e-006 +to 3.1316e-006
Heightened Def Con from 3.1316e-006 +to 3.1316e-006
Heightened Def Con from 3.1316e-006 +++to 3.1316e-006
Heightened Def Con from 3.1316e-006 +to 3.13272e-006
Heightened Def Con from 3.13272e-006 to 3.13272e-006
Heightened Def Con from 3.13272e-006 +to 3.13272e-006
Heightened Def Con from 3.13272e-006 to 3.13272e-006
Heightened Def Con from 3.13272e-006 +to 3.13285e-006
Heightened Def Con from 3.13285e-006 +++++to 3.13285e-006
Heightened Def Con from 3.13285e-006 to 3.13285e-006
Heightened Def Con from 3.13285e-006 to 3.13285e-006
Heightened Def Con from 3.13285e-006 ++to 3.13286e-006
Heightened Def Con from 3.13286e-006 to 3.13286e-006
Heightened Def Con from 3.13286e-006 to 3.13286e-006
Heightened Def Con from 3.13286e-006 ++to 3.13287e-006
Heightened Def Con from 3.13287e-006 to 3.13288e-006
Heightened Def Con from 3.13288e-006 to 3.13288e-006
Heightened Def Con from 3.13288e-006 to 3.13288e-006
Heightened Def Con from 3.13288e-006 +to 3.13288e-006
Heightened Def Con from 3.13288e-006 ++to 3.13288e-006
Heightened Def Con from 3.13288e-006 +to 3.13301e-006
Heightened Def Con from 3.13301e-006 to 3.13301e-006
Heightened Def Con from 3.13301e-006 to 3.13301e-006
Heightened Def Con from 3.13301e-006 to 3.13302e-006
Heightened Def Con from 3.13302e-006 +to 3.13402e-006
Heightened Def Con from 3.13402e-006 +to 3.13402e-006
Heightened Def Con from 3.13402e-006 to 3.13402e-006
Heightened Def Con from 3.13402e-006 ++to 3.13402e-006
Heightened Def Con from 3.13402e-006 +to 3.13402e-006
Heightened Def Con from 3.13402e-006 to 3.13402e-006
Heightened Def Con from 3.13402e-006 ++to 3.13402e-006
Heightened Def Con from 3.13402e-006 +to 3.13404e-006
Heightened Def Con from 3.13404e-006 +++to 3.13406e-006
Heightened Def Con from 3.13406e-006 to 3.13406e-006
Heightened Def Con from 3.13406e-006 +to 3.13406e-006
Heightened Def Con from 3.13406e-006 to 3.13406e-006
Heightened Def Con from 3.13406e-006 to 3.13406e-006
Heightened Def Con from 3.13406e-006 to 3.13406e-006
Heightened Def Con from 3.13406e-006 +to 3.13408e-006
Heightened Def Con from 3.13408e-006 ++++to 3.13408e-006
Heightened Def Con from 3.13408e-006 ++to 3.13508e-006
Heightened Def Con from 3.13508e-006 +to 3.13509e-006
Heightened Def Con from 3.13509e-006 to 3.13509e-006
Heightened Def Con from 3.13509e-006 to 3.13509e-006
Heightened Def Con from 3.13509e-006 to 3.13509e-006
Heightened Def Con from 3.13509e-006 ++to 3.13509e-006
Heightened Def Con from 3.13509e-006 +to 3.13522e-006
Heightened Def Con from 3.13522e-006 to 3.13522e-006
Heightened Def Con from 3.13522e-006 +++to 3.13523e-006
Heightened Def Con from 3.13523e-006 to 3.13623e-006
Heightened Def Con from 3.13623e-006 +to 3.13723e-006
Heightened Def Con from 3.13723e-006 to 3.13725e-006
Heightened Def Con from 3.13725e-006 +to 3.13725e-006
Heightened Def Con from 3.13725e-006 ++to 3.13827e-006
Heightened Def Con from 3.13827e-006 ++to 3.13839e-006
Heightened Def Con from 3.13839e-006 +to 3.13939e-006
Heightened Def Con from 3.13939e-006 +to 3.13952e-006
Heightened Def Con from 3.13955e-006 to 3.13955e-006
Heightened Def Con from 3.13955e-006 +to 3.13955e-006
Heightened Def Con from 3.13955e-006 +to 3.13955e-006
Heightened Def Con from 3.13955e-006 to 3.13955e-006
Heightened Def Con from 3.13955e-006 to 3.13955e-006
Heightened Def Con from 3.13955e-006 +to 3.13955e-006
Heightened Def Con from 3.13955e-006 +to 3.13968e-006
Heightened Def Con from 3.13968e-006 to 3.14068e-006
Heightened Def Con from 3.14068e-006 +++to 3.14068e-006
Heightened Def Con from 3.14068e-006 +to 3.14068e-006
Heightened Def Con from 3.14068e-006 to 3.14068e-006
Heightened Def Con from 3.14068e-006 to 3.14069e-006
Heightened Def Con from 3.14069e-006 +to 3.14169e-006
Heightened Def Con from 3.1612e-006 to 3.16233e-006
Heightened Def Con from 3.16261e-006 to 3.16286e-006
Heightened Def Con from 3.17872e-006 to 3.17872e-006
Heightened Def Con from 3.17872e-006 to 3.18072e-006
Heightened Def Con from 3.18072e-006 to 3.18185e-006
Heightened Def Con from 3.18317e-006 to 3.18517e-006
Heightened Def Con from 3.19557e-006 to 3.19557e-006
Heightened Def Con from 3.19557e-006 to 3.19557e-006
Heightened Def Con from 3.19557e-006 to 3.19557e-006
Heightened Def Con from 3.19557e-006 to 3.19558e-006
Heightened Def Con from 3.19558e-006 to 3.19558e-006
Heightened Def Con from 3.19558e-006 ++++to 3.19658e-006
Heightened Def Con from 3.19658e-006 to 3.19658e-006
Heightened Def Con from 3.19658e-006 +++to 3.19658e-006
Heightened Def Con from 3.19658e-006 +to 3.19758e-006
Heightened Def Con from 3.19758e-006 +to 3.1976e-006
Heightened Def Con from 3.1976e-006 +to 3.19772e-006
Heightened Def Con from 3.19772e-006 ++to 3.19772e-006
Heightened Def Con from 3.19772e-006 to 3.19772e-006
Heightened Def Con from 3.19772e-006 ++to 3.19797e-006
Heightened Def Con from 3.19797e-006 to 3.19797e-006
Heightened Def Con from 3.19797e-006 +++to 3.19799e-006
Heightened Def Con from 3.19808e-006 to 3.19808e-006
Heightened Def Con from 3.19808e-006 +to 3.19808e-006
Heightened Def Con from 3.19808e-006 +to 3.19808e-006
Heightened Def Con from 3.19808e-006 to 3.1981e-006
Heightened Def Con from 3.1981e-006 to 3.19824e-006
Heightened Def Con from 3.19824e-006 +to 3.19924e-006
Heightened Def Con from 3.19924e-006 +to 3.19924e-006
Heightened Def Con from 3.19924e-006 to 3.19926e-006
Heightened Def Con from 3.19926e-006 +to 3.20026e-006
Heightened Def Con from 3.20026e-006 to 3.20126e-006
Heightened Def Con from 3.20126e-006 +to 3.20226e-006
Heightened Def Con from 3.20226e-006 to 3.20228e-006
Heightened Def Con from 3.20228e-006 +to 3.20229e-006
Heightened Def Con from 3.20229e-006 to 3.20242e-006
Heightened Def Con from 3.20242e-006 to 3.20242e-006
Heightened Def Con from 3.20242e-006 to 3.20442e-006
Heightened Def Con from 3.20442e-006 to 3.20542e-006
Heightened Def Con from 3.20545e-006 to 3.20745e-006
Heightened Def Con from 3.24145e-006 to 3.24148e-006
Heightened Def Con from 3.24151e-006 to 3.24253e-006
Heightened Def Con from 3.24253e-006 to 3.24453e-006
Heightened Def Con from 3.24672e-006 to 3.24674e-006
Heightened Def Con from 3.24675e-006 to 3.24689e-006
Heightened Def Con from 3.24704e-006 to 3.24816e-006
Heightened Def Con from 3.24992e-006 to 3.25192e-006
Heightened Def Con from 3.32279e-006 to 3.32304e-006
Heightened Def Con from 3.32304e-006 to 3.32318e-006
Heightened Def Con from 3.32343e-006 to 3.32368e-006
Heightened Def Con from 3.32372e-006 to 3.32572e-006
Heightened Def Con from 3.32572e-006 to 3.32597e-006
Heightened Def Con from 3.32775e-006 to 3.32775e-006
Heightened Def Con from 3.32775e-006 to 3.328e-006
Heightened Def Con from 3.3281e-006 to 3.3281e-006
Heightened Def Con from 3.3281e-006 to 3.32835e-006
Heightened Def Con from 3.32835e-006 to 3.32835e-006
Heightened Def Con from 3.32835e-006 to 3.32937e-006
Heightened Def Con from 3.32937e-006 to 3.3294e-006
Heightened Def Con from 3.32944e-006 to 3.33144e-006
Heightened Def Con from 3.33147e-006 to 3.33147e-006
Heightened Def Con from 3.33147e-006 to 3.3326e-006
Heightened Def Con from 3.3326e-006 to 3.3346e-006
Heightened Def Con from 3.33537e-006 to 3.33737e-006
Heightened Def Con from 3.33796e-006 to 3.33896e-006
Heightened Def Con from 3.33896e-006 to 3.33896e-006
Heightened Def Con from 3.33897e-006 to 3.33898e-006
Heightened Def Con from 3.339e-006 to 3.339e-006
Heightened Def Con from 3.339e-006 to 3.339e-006
Heightened Def Con from 3.339e-006 to 3.339e-006
Heightened Def Con from 3.339e-006 to 3.339e-006
Heightened Def Con from 3.339e-006 to 3.33901e-006
Heightened Def Con from 3.33901e-006 +to 3.34001e-006
Heightened Def Con from 3.34001e-006 +to 3.34101e-006
Heightened Def Con from 3.34101e-006 to 3.34101e-006
Heightened Def Con from 3.34101e-006 +to 3.34101e-006
Heightened Def Con from 3.34101e-006 +to 3.34101e-006
Heightened Def Con from 3.34101e-006 +to 3.34101e-006
Heightened Def Con from 3.34101e-006 to 3.34101e-006
Heightened Def Con from 3.34101e-006 to 3.34301e-006
Heightened Def Con from 3.34501e-006 +to 3.34515e-006
Heightened Def Con from 3.34515e-006 to 3.34528e-006
Heightened Def Con from 3.34528e-006 to 3.34528e-006
Heightened Def Con from 3.34528e-006 to 3.34728e-006
Heightened Def Con from 3.34937e-006 to 3.35137e-006
Heightened Def Con from 3.35525e-006 to 3.35725e-006
Heightened Def Con from 3.35742e-006 to 3.35942e-006
Heightened Def Con from 3.35973e-006 to 3.36173e-006
Heightened Def Con from 3.66273e-006 to 3.66473e-006
Heightened Def Con from 3.67117e-006 to 3.6723e-006
Heightened Def Con from 3.67517e-006 to 3.67717e-006

Date: Mon Sep 01 07:42:28 2014
Total elapsed time: 1.014 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 126093
traniter = 126072
tranpoints = 24856
accept = 14258
rejected = 11081
matrix size = 33
fillins = 62
solver = Normal
Matrix Compiler1: 5.30 KB object code size  1.2/0.7/[0.5]
Matrix Compiler2: off  [0.5]/0.6/0.8


